subject,category
IKEA HUNGARY,Lakhatás
AUTÓKÖLCSÖNZŐ,Utazás
BOOKING COM,Utazás
CBA KÖZÉRT,Élelmiszer
MULLER,Droguéria
AIRBNB,Utazás
E-MATRICA,Közlekedés
TESCO EXTRA,Élelmiszer
PÉKÁRU,Élelmiszer
ZÖLDSÉG GYÜMÖLCS,Élelmiszer
EON,Rezsi
HÁZIORVOS,Egészség
CINEWORLD,Szórakozás
ÉLELMISZER,Élelmiszer
DR.,Egészség
NETFLIX.COM,Szórakozás
VODAFONE MAGYARORSZÁG,Rezsi
VOLÁN,Közlekedés
THAI,Vendéglátás
MÁV,Közlekedés
SZALLAS HU,Utazás
átutalás,Átutalás
SPAR MAGYARORSZÁG,Élelmiszer
MCDONALDS,Vendéglátás
ÁTUTALÁS,Átutalás
AIR BNB,Utazás
DÍJNET,Rezsi
MEDIA MARKT,Online vásárlás
ANTENNA HUNGÁRIA,Rezsi
ALI EXPRESS,Online vásárlás
LIDL HUNGARY,Élelmiszer
FOODPANDA,Vendéglátás
BISZTRÓ,Vendéglátás
BANKAUTOMATA,Készpénz
SZÁMLA,Átutalás
ELMŰ,Rezsi
AMAZON EU,Online vásárlás
TESCO EXPRESS,Élelmiszer
MOL 1234,Közlekedés
AMAZON.DE,Online vásárlás
BOLT DRIVE,Közlekedés
HENTES,Élelmiszer
INTERSPORT,Sport
GOOGLE PLAY,Online vásárlás
TIGÁZ,Rezsi
DOMINÓS,Vendéglátás
LAKÁSBIZTOSÍTÁS REZSI,Rezsi
BOOKING.COM,Utazás
HOTELS.COM,Utazás
KESZPENZ,Készpénz
SPAR MAGYARORSZAG,Élelmiszer
HBO,Szórakozás
OBI,Lakhatás
LABOR,Egészség
ATM,Készpénz
ROSSMANN DROGUÉRIA,Droguéria
DROGERIA,Droguéria
LEROY MERLIN,Lakhatás
INTERSPAR,Élelmiszer
CINEMA CITY,Szórakozás
KÖZÖS KÖLTSÉG,Lakhatás
VOLÁNBUSZ,Közlekedés
JÁTÉK,Szórakozás
COFFEE,Vendéglátás
E.ON,Rezsi
METRO,Élelmiszer
BAUHAUS,Lakhatás
SPORTBOLT,Sport
PIZZA HUT,Vendéglátás
SUSHI,Vendéglátás
STEAM GAMES,Szórakozás
LAKBERENDEZÉS,Lakhatás
ISMERETLEN,Egyéb
FOGÁSZAT,Egészség
NKM,Rezsi
ROKSH,Élelmiszer
AVIA,Közlekedés
STEAM,Szórakozás
DM,Droguéria
ORVOS,Egészség
PATIKA,Egészség
TRIVAGO,Utazás
SPAR SZUPERMARKET,Élelmiszer
bankautomata,Készpénz
TESCO ÁRUHÁZ,Élelmiszer
EGYÉB,Egyéb
EDZŐTEREM,Sport
GYM,Sport
SEMMELWEIS,Egészség
RENDELŐ,Egészség
GYROS,Vendéglátás
AMAZON,Online vásárlás
közös költség,Lakhatás
BENU,Egészség
SZEMÉSZET,Egészség
PÉKSÉG,Élelmiszer
berlet,Átutalás
MISCELLANEOUS,Egyéb
AGIP,Közlekedés
PILATES,Sport
OBI ÁRUHÁZ,Lakhatás
BENU GYÓGYSZERTÁR,Egészség
BOLT TAXI,Közlekedés
USZODA,Sport
ALIBABA,Online vásárlás
WIZZ AIR,Utazás
METRO CASH AND CARRY,Élelmiszer
LIMO,Közlekedés
FITNESS TEREM,Sport
LOT,Utazás
HONVÉD KÓRHÁZ,Egészség
DIJNET,Rezsi
EMAG.HU,Online vásárlás
VONAT JEGY,Közlekedés
FALATOZÓ,Vendéglátás
ÉTTEREM,Vendéglátás
PÉK,Élelmiszer
PIZZÉRIA,Vendéglátás
METRO JEGY,Közlekedés
OMV,Közlekedés
TAXI,Közlekedés
HBO MAX,Szórakozás
PRAKTIKER,Lakhatás
DECATHLON,Sport
PUB,Vendéglátás
EBÉD,Vendéglátás
APOTEKA,Egészség
PENNY MARKET KFT,Élelmiszer
DISNEY PLUS,Szórakozás
AUCHAN,Élelmiszer
CBA SZUPERMARKET,Élelmiszer
MULTIPLEX,Szórakozás
EURONICS,Online vásárlás
OMV BENZINKÚT,Közlekedés
PARKING,Közlekedés
FOGORVOS,Egészség
KEBAB,Vendéglátás
SPAR,Élelmiszer
egyéb,Egyéb
ÚTDÍJ,Közlekedés
RESTAURANT,Vendéglátás
EMAG,Online vásárlás
MCDONALD'S,Vendéglátás
RENDELŐINTÉZET,Egészség
RYAN AIR,Utazás
YETTEL,Rezsi
DOUGLAS PARFÜMÉRIA,Droguéria
albérlet,Lakhatás
MAVINFORM,Közlekedés
INTERSPAR HYPERMARKET,Élelmiszer
TIDAL,Szórakozás
ROSSMANN,Droguéria
DEEZER,Szórakozás
VÍZ,Rezsi
LIDL,Élelmiszer
SPORTSZERTÁR,Sport
PHARMAPOLIS,Egészség
UTALÁS,Átutalás
MAV,Közlekedés
FIZIOTERÁPIA,Egészség
UBER,Közlekedés
VATERA,Online vásárlás
bérleti díj,Lakhatás
KIFLI.HU,Élelmiszer
LIDL HUNGARY KFT,Élelmiszer
KFC,Vendéglátás
LUKOIL,Közlekedés
lakásbiztosítás,Lakhatás
TENISZ,Sport
TELEKOM MAGYARORSZÁG,Rezsi
készpénzfelvétel,Készpénz
YOGA,Sport
HÁZTARTÁSI,Lakhatás
NETPINCÉR,Vendéglátás
SZÁLLODA,Utazás
LABORVIZSGÁLAT,Egészség
SQUASH,Sport
SÖRÖZŐ,Vendéglátás
KÖZÉRT,Élelmiszer
KIFLI HU,Élelmiszer
VEGYES,Egyéb
FUTÁS,Sport
APPLE MUSIC,Szórakozás
MOZI,Szórakozás
WIFI,Rezsi
GYÓGYSZERTÁR,Egészség
WIZZAIR,Utazás
ALZA,Online vásárlás
TÁVHŐ,Rezsi
HOTEL,Utazás
STARBUCKS COFFEE,Vendéglátás
CSATORNÁZÁS,Rezsi
APPLE STORE,Online vásárlás
GAMING,Szórakozás
BURGERKINGS,Vendéglátás
TIGAZ,Rezsi
BÉRLETI DÍJ,Lakhatás
MARATON,Sport
TOTAL,Közlekedés
ZÖLDSÉGES,Élelmiszer
SPOTIFY AB,Szórakozás
KÁVÉZÓ,Vendéglátás
CASH,Készpénz
ITUNES,Szórakozás
PIZZA,Vendéglátás
EBAY,Online vásárlás
ARENA,Sport
IKEA,Lakhatás
DOMINO'S,Vendéglátás
DROGUÉRIA,Droguéria
BÉRLET,Átutalás
MASSZÁZS,Egészség
SZALLAS.HU,Utazás
PARKOLÁS,Közlekedés
ALIEXPRESS,Online vásárlás
TESCO,Élelmiszer
JÓFOGÁS,Online vásárlás
MOL BENZINKÚT,Közlekedés
ALDI STORE,Élelmiszer
KÁBELTÉVÉ,Rezsi
INTERNET,Rezsi
EDIGITAL,Online vásárlás
HU-GO,Közlekedés
TMOBILE,Rezsi
MOL,Közlekedés
BÚTORÁRUHÁZ,Lakhatás
LAKÁSBIZTOSÍTÁS,Lakhatás
KOCSMA,Vendéglátás
BKV,Közlekedés
ÚSZÁS,Sport
YOUTUBE,Szórakozás
FITNESS,Sport
SHELL,Közlekedés
FOTAV,Rezsi
TWITCH,Szórakozás
DM DROGERIE,Droguéria
SPORTARENA,Sport
BISTRO,Vendéglátás
CBA,Élelmiszer
CAFÉ,Vendéglátás
HÁZTARTÁS,Lakhatás
MAGÁNKLINIKA,Egészség
TELENOR,Rezsi
BKK,Közlekedés
VACSORA,Vendéglátás
KOZMETIKA,Droguéria
MATRICA,Közlekedés
RYANAIR,Utazás
GROCERY,Élelmiszer
WIZZ,Utazás
ALZA.HU,Online vásárlás
BAR,Vendéglátás
FUTBALL,Sport
ismeretlen,Egyéb
LUFTHANSA,Utazás
NOTINO,Droguéria
utalás,Átutalás
ALBÉRLET,Lakhatás
STARBUCKS,Vendéglátás
SPOTIFY,Szórakozás
AUCHAN HYPERMARKET,Élelmiszer
HÚSBOLT,Élelmiszer
EASYJET,Utazás
FŐTÁV,Rezsi
WOLT,Vendéglátás
SUPERMARKET,Élelmiszer
ÁRAM,Rezsi
SHELL BENZINKÚT,Közlekedés
OPTIKA,Egészség
AUCHAN BUDAÖRS,Élelmiszer
GAME,Szórakozás
VODAFONE,Rezsi
ÉMÁSZ,Rezsi
DOUGLAS,Droguéria
GÁZ,Rezsi
banki átutalás,Átutalás
DÍJ,Átutalás
TELEKOM,Rezsi
HOSTEL,Utazás
PARKOLÓ,Közlekedés
ATM FELVÉTEL,Készpénz
T-MOBILE,Rezsi
számla,Átutalás
AUTÓPÁLYA,Közlekedés
LIDL 1234,Élelmiszer
BURGER KING,Vendéglátás
KÓRHÁZ,Egészség
RENTALCARS,Utazás
EXTREME DIGITAL,Online vásárlás
díj,Átutalás
BOOKING,Utazás
KÉSZPÉNZFELVÉTEL,Készpénz
ALDI MAGYARORSZÁG,Élelmiszer
FOCI,Sport
YOUTUBE PREMIUM,Szórakozás
PANZIÓ,Utazás
MÜLLER,Droguéria
PENNY,Élelmiszer
PENNY MARKET,Élelmiszer
MEDIAMARKT,Online vásárlás
DM DROGERIEMARKT,Droguéria
BÚTOR,Lakhatás
PARFÜM,Droguéria
BUSZ JEGY,Közlekedés
NETFLIX,Szórakozás
DISNEY+,Szórakozás
MEKK,Vendéglátás
ALDI,Élelmiszer
MOL TÖLTŐÁLLOMÁS,Közlekedés
